nta2020,ntaname,boroname,Total Votes,Zohran Kwame Mamdani,Zohran Kwame Mamdani (%),Andrew M. Cuomo (%),Curtis A. Sliwa (%),winning_candidate,winning_percentage,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score,index_no_car
BK1002,Dyker Heights,Brooklyn,7853,2220,28.27,52.8,18.46,Andrew M. Cuomo,52.8,0.7432618778989595,0.6761290322580644,1.0,0.8670791050986737,0.1190645818985427,0.674916,0.674613
QN1101,Auburndale,Queens,7775,2320,29.84,53.9,15.4,Andrew M. Cuomo,53.9,0.6182205659452744,0.3961290322580645,1.0,0.7663168641545629,0.6290835426249054,0.674545,0.744149
QN0501,Maspeth,Queens,8213,2477,30.16,45.73,23.51,Andrew M. Cuomo,45.73,0.6753165350382349,0.4993548387096773,1.0,0.6413866729879454,0.5476905462833298,0.674446,0.718219
BX0803,Riverdale-Spuyten Duyvil,Bronx,17149,7580,44.2,48.62,6.06,Andrew M. Cuomo,48.62,0.5937297001606893,0.5729032258064516,1.0,0.6496472881296194,0.5648260928541953,0.673425,0.698556
BX1201,Williamsbridge-Olinville,Bronx,8001,4442,55.52,39.76,3.64,Zohran Kwame Mamdani,55.52,0.8190821338621264,0.6077419354838709,0.92,0.6982282993488962,0.2863431386611101,0.672322,0.688467
QN1102,Bayside,Queens,9261,2796,30.19,54.64,14.39,Andrew M. Cuomo,54.64,0.5591587176769577,0.4141935483870967,1.0,0.8116852368038898,0.6216045545228506,0.668702,0.732329
QN1202,South Jamaica,Queens,6182,3809,61.61,34.07,2.83,Zohran Kwame Mamdani,61.61,0.7311361072173408,0.5058064516129032,1.0,0.8985004851406032,0.2479923260894983,0.668319,0.708947
BX1202,Eastchester-Edenwald-Baychester,Bronx,5864,3172,54.09,40.96,3.77,Zohran Kwame Mamdani,54.09,0.7143150193168997,0.5638709677419353,0.9615,0.7441746516715129,0.3623596073334201,0.667751,0.693721
QN1302,Bellerose,Queens,7603,3525,46.36,40.01,12.78,Zohran Kwame Mamdani,46.36,0.5595177043089792,0.2954838709677418,1.0,0.742198132772306,0.7730533526879754,0.664917,0.757275
BK1001,Bay Ridge,Brooklyn,24606,11180,45.44,40.62,13.16,Zohran Kwame Mamdani,45.44,0.6286169327726304,0.7432258064516128,0.9799,0.816639964150598,0.2027294414570463,0.664821,0.64522
QN0804,Jamaica Estates-Holliswood,Queens,6724,2972,44.2,49.91,5.15,Andrew M. Cuomo,49.91,0.612320079318951,0.5341935483870968,0.9762,0.835730885708601,0.4163328305688145,0.663785,0.696183
QN0905,Woodhaven,Queens,6598,3138,47.56,38.83,12.61,Zohran Kwame Mamdani,47.56,0.6736412640888008,0.6709677419354838,0.85,0.8501242697094276,0.3140646134966524,0.662935,0.660927
QN1304,Cambria Heights,Queens,5422,2954,54.48,41.65,2.55,Zohran Kwame Mamdani,54.48,0.5113793064150342,0.3496774193548387,1.0,0.9143245882565972,0.6256300038128269,0.660055,0.737649
QN1206,Hollis,Queens,4443,2759,62.1,33.47,3.6,Zohran Kwame Mamdani,62.1,0.6738463993070989,0.4670967741935483,1.0,0.831044954061039,0.362829928215215,0.659104,0.707105
MN0604,East Midtown-Turtle Bay,Manhattan,16779,5845,34.84,60.55,3.89,Andrew M. Cuomo,60.55,0.2339994529727511,0.9483870967741936,0.9216,0.7512553285569525,0.5689490958378564,0.658975,0.586622
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,15731,11283,71.72,25.31,1.9,Zohran Kwame Mamdani,71.72,0.2782915655236077,0.944516129032258,0.9115,0.8100393594411044,0.48297115842295,0.658876,0.587466
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island,3005,1677,55.81,33.44,9.08,Zohran Kwame Mamdani,55.81,0.8806853795571359,0.552258064516129,0.9701,0.8142499358867877,0.0511990161438668,0.65702,0.683211
BK0102,Williamsburg,Brooklyn,20039,13673,68.23,28.46,2.44,Zohran Kwame Mamdani,68.23,0.3456585410327418,0.9148387096774192,0.9694,0.7372745407162596,0.4119617948492444,0.656246,0.591598
QN0202,Sunnyside,Queens,13255,8714,65.74,26.95,6.44,Zohran Kwame Mamdani,65.74,0.6994341686895278,0.8232258064516129,0.9194,0.6081654365648931,0.2057811210046075,0.655765,0.613899
QN1303,Queens Village,Queens,11839,6930,58.54,35.15,5.39,Zohran Kwame Mamdani,58.54,0.5847436379591324,0.4116129032258064,1.0,0.7523374688368012,0.5487608907392819,0.651111,0.710986
QN1204,Springfield Gardens (North)-Rochdale Village,Queens,7637,3922,51.36,45.23,2.11,Zohran Kwame Mamdani,51.36,0.7394298380571416,0.424516129032258,1.0,0.8788312988810895,0.2435745092005311,0.6503,0.706746
QN0602,Forest Hills,Queens,26215,9871,37.65,55.06,6.47,Andrew M. Cuomo,55.06,0.5508222503333448,0.7212903225806451,0.8261,0.6381662239855119,0.5263313699302875,0.648175,0.629896
QN0203,Woodside,Queens,10629,6113,57.51,33.15,8.68,Zohran Kwame Mamdani,57.51,0.7346632933319658,0.784516129032258,1.0,0.229417972653307,0.3517935382171421,0.64534,0.610547
