NTACode,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score
MN0604,0.2339994529727511,0.9483870967741935,0.9216,0.24874467144304746,0.4661072032184386,0.56303
MN0661,,,,,,0.0
MN0701,0.1130978836883311,0.944516129032258,0.9474,0.20325056100349329,0.48461747952947215,0.534069
MN0702,0.2884770989321572,0.9509677419354838,0.9592,0.1636150177251627,0.6928002881115062,0.617255
MN0703,0.4127918903210366,0.9638709677419355,0.963,0.21904573131994412,0.671057373957008,0.655641
MN0801,0.4289149486592134,0.9483870967741935,,,,0.296906
MN0802,0.0,0.9187096774193548,0.9265,0.26278880198415455,0.7695966172042465,0.56238
MN0803,0.3612716104254276,0.935483870967742,,,,0.277415
MN0901,0.7351561876759319,0.9367741935483871,0.9655,0.1847007750899949,0.7541631803464176,0.742782
MN0902,0.87918105462295,0.9483870967741935,0.9744,0.1884226138839646,0.7899276673469675,0.790602
MN0903,0.8044149657538149,0.9483870967741935,0.9538,0.2288626807771842,0.7789371480363187,0.771658
MN1001,0.7178649982335579,0.927741935483871,0.9241,0.22652354482877815,0.7673066963905614,0.737275
MN1002,0.8425359271542047,0.8980645161290323,0.9537,0.289329882286052,0.6386618497703305,0.752119
MN1101,0.938590493122272,0.944516129032258,0.9423,0.265896526760687,0.9378103180832218,0.839457
MN1102,0.9119770476483526,0.9109677419354839,,,,0.410188
MN1191,,1.0,1.0,0.30457559690278163,0.32205502061696506,0.510097
MN1201,0.7847561740002507,0.9187096774193548,0.9406,0.20119218164569058,0.6353121082319222,0.725292
MN1202,0.7672541511390703,0.9225806451612903,0.9296,0.21297441492623118,0.6997421101938243,0.734144
MN1203,0.7408572372844655,0.8929032258064517,,,,0.363795
MN1291,,,0.9333,0.22428257546778219,0.87824177819501,0.395951
MN1292,,,1.0,0.33206625135932344,0.4076647268276462,0.331343
MN6491,,,0.9242,0.23624368296623718,0.4257886455618339,0.305434
QN0101,0.5558708559836804,0.7677419354838709,0.625,,0.699554486709002,0.557427
QN0102,0.5291861830034075,0.7664516129032257,0.8182,0.3541923620431862,0.42495340290727734,0.587346
QN0103,0.6274630471697038,0.8929032258064517,,,,0.335446
QN0104,0.6621024080595348,0.8438709677419355,0.5,,0.699554486709002,0.574211
QN0105,0.70335168153897,0.8658064516129033,0.75,0.3541923620431862,0.42495340290727734,0.637119
QN0151,,,,,,0.0
QN0161,0.1177305207015624,,,,,0.029433
QN0171,,,,,,0.0
QN0191,,,,,,0.0
QN0201,0.1896703021185909,0.896774193548387,0.7179,0.5362468744274975,0.23260755356117682,0.497311
QN0202,0.6994341686895278,0.8232258064516129,0.9194,0.3918345634351069,0.2057811210046075,0.623315
QN0203,0.7346632933319658,0.784516129032258,1.0,0.770582027346693,0.35179353821714215,0.726515
QN0261,,,,,,0.0
QN0271,,,0.8571,0.3918345634351069,0.2057811210046075,0.271351
QN0301,0.7086595553124324,0.7806451612903226,1.0,,0.699554486709002,0.673205
QN0302,0.7244207779183334,0.6322580645161291,1.0,1.0,0.21161535788263913,0.69988
QN0303,0.7205403033721951,0.8374193548387097,0.875,0.33678774281688434,0.007363954876147574,0.57461
QN0401,0.7470511812369653,0.8090322580645162,0.8235,0.4627676292265864,0.4044044854858269,0.663565
QN0402,0.7625502866194855,0.807741935483871,0.9286,0.4523879180462705,0.7355349590407608,0.752871
QN0501,0.6753165350382349,0.49935483870967734,1.0,0.3586133270120546,0.5476905462833298,0.63203
QN0502,0.650731648945263,0.7716129032258064,0.9655,0.28732664102015126,0.5334235709221841,0.659889
