route_id,NTACode
BX19,BX0202
BX19,BX0201
BX19,BX0303
BX19,BX0601
BX19,BX2791
BX19,BX0603
BX19,BX0602
BX31,BX1001
BX31,BX1161
BX31,BX1102
BX31,BX1103
BX31,BX1202
BX31,BX1203
BX31,BX2691
BX31,BX1271
BX31,BX1201
BX32,BX0101
BX32,BX0102
BX32,BX0401
BX32,BX0403
BX32,BX0502
BX32,BX0503
BX32,BX0701
BX32,BX0702
BX32,BX0801
BX32,BX0501
BX6,MN0903
BX6,BX0491
BX6,BX0402
BX6,BX0401
BX6,BX0301
BX6,BX0202
BX6,BX0201
BX6,MN1201
BX27,BX0902
BX27,BX0901
BX27,BX0303
BX27,BX0202
BX11,MN1201
BX11,MN1202
BX11,BX0402
BX11,BX0403
BX11,BX0302
BX11,BX0391
BX11,BX0303
BX11,BX0901
BX11,
BX11,BX0492
BX11,BX0904
BX36,MN1202
BX36,BX0501
BX36,BX0502
BX36,BX0602
BX36,BX0601
BX36,BX0901
BX36,
BX36,BX0902
BX36,BX0904
BX36,BX1101
BX5,BX0903
BX5,BX1004
BX5,BX1202
BX38,BX0702
BX38,BX0701
M60+,MN0703
M60+,MN0901
M60+,MN1001
M60+,
M60+,MN1191
M60+,QN0101
M60+,QN0104
M60+,QN0301
M60+,QN0302
M66,
M66,MN0802
M66,MN6491
M66,MN0701
M9,
M9,MN0602
M9,MN0301
M9,MN0102
M14A+,MN0203
M14A+,MN0202
M14A+,
M14A+,MN0602
M14A+,MN0501
M14A+,MN0401
M14D+,MN0401
M14D+,MN0203
M14D+,MN0202
M14D+,
M14D+,MN0602
M14D+,MN0501
M50,MN0402
M50,MN0502
M50,MN0604
M42,MN0402
M42,MN0401
M42,MN0502
M42,
M42,MN0604
M20,MN0701
M20,MN0502
M20,MN0501
M20,MN0401
M20,MN0203
M20,MN0201
M20,MN0102
M20,
M20,MN6491
M55,MN0502
M55,MN0501
M55,MN0202
M55,MN0201
M55,MN0102
M55,
M12,MN0203
M12,MN0401
M12,MN0402
M12,MN0502
M22,
M22,MN0301
M22,MN0102
M86+,MN0702
M86+,MN6491
M86+,MN0802
M86+,
M79+,MN0702
M79+,MN6491
M79+,MN0802
M79+,
M34+,MN0401
M34+,MN0501
M34+,
M34+,MN0602
M34+,MN0502
M34A+,MN0402
M34A+,MN0401
M34A+,MN0501
M34A+,
M34A+,MN0602
M34A+,MN0502
M23+,MN0401
M23+,MN0501
M23+,MN0602
M23+,
M21,
M21,MN0202
M21,MN0203
M21,MN0201
M8,MN0203
M8,MN0202
M8,
M57,MN0502
M57,MN0402
M57,MN0701
M57,MN0604
M72,MN0701
M72,MN0802
M72,
M72,MN6491
M116,MN0703
M116,MN1001
M116,
M116,MN0901
M96,MN0702
M96,MN0802
M96,
M96,MN1101
M106,MN0702
M106,MN0802
M106,MN1101
M106,MN6491
M98,
M98,MN1101
M98,MN1201
M98,MN1202
M98,MN0802
M11,MN0902
M11,MN0901
M11,MN0703
M11,MN0702
M11,MN0701
M11,MN0402
M11,MN0401
M11,MN0203
M11,MN0903
M104,MN0902
M104,MN0901
M104,MN0703
M104,MN0702
M104,MN0701
M104,MN0502
M10,MN1001
M10,MN1002
M10,MN0703
M10,MN0702
M10,MN0701
M10,MN0502
M10,MN6491
M2,MN1002
M2,MN1291
M2,MN1201
M2,MN0903
M2,MN1001
M2,MN6491
M2,MN0502
M2,MN0501
M2,MN0202
M2,
M2,MN0602
M2,MN0802
M2,MN1101
M3,MN1001
M3,MN1002
M3,MN0903
M3,MN1201
M3,MN1202
M3,MN1291
M3,MN0901
M3,MN0703
M3,MN6491
M3,MN0502
M3,MN0501
M3,MN0202
M3,
M3,MN0602
M3,MN0802
M3,MN1101
M3,MN0902
M4,MN0902
M4,MN0901
M4,MN0703
M4,MN6491
M4,MN0502
M4,MN0501
M4,MN0802
M4,MN1101
M4,MN1001
M4,MN0903
M4,MN1201
M4,MN1202
M5,MN0902
M5,MN0901
M5,MN0703
M5,MN0702
M5,MN0701
M5,MN0502
M5,MN0501
M5,MN6491
M5,MN0903
M5,MN1201
M5,MN1202
M125,MN0901
M125,MN1001
M125,
M125,BX0101
M125,BX0102
M125,MN0902
M15+,
M15+,MN0602
M15+,MN0604
M15+,MN1101
M15+,MN0301
M7,MN1002
M7,MN1001
M7,MN0901
M7,MN0703
M7,MN0702
M7,MN0701
M7,MN0502
M7,MN0501
M7,MN0401
M7,MN0203
M7,MN6491
M1,MN1002
M1,MN1001
M1,MN6491
M1,MN0502
M1,MN0501
M1,MN0202
M1,MN0201
M1,
M1,MN0602
M1,MN0802
M1,MN1101
M35,
M35,MN1191
M101,MN1101
M101,
M101,MN1001
M101,MN0901
M101,MN0902
M101,MN0903
M101,MN1201
M101,MN1291
M101,MN1202
M101,MN0802
M101,MN0604
M101,MN0602
