Borough,NTA,NTA Name,CD,NTA Area (sq mi),Total Vehicles,% Use Car,Vehicles Stored,Vehicles Stored per Sq. Mile,Non-Residential
Manhattan,MN0501,Midtown South-Flatiron-Union Square,MN05,0.533681989,2883,5.3,2730.201,5116,False
Manhattan,MN0901,Morningside Heights,MN09,0.571153998,3274,6.3,3067.738,5371,False
Manhattan,MN0603,Murray Hill-Kips Bay,MN06,0.565715015,7139,5.2,6767.772,11963,False
Manhattan,MN1191,Randall's Island,MN11,0.841750026,0,1.4,0.0,0,True
Manhattan,MN0201,SoHo-Little Italy-Hudson Square,MN02,0.463326991,2685,3.3,2596.395,5604,False
Manhattan,MN0601,Stuyvesant Town-Peter Cooper Village,MN06,0.199996993,3495,5.8,3292.29,16462,False
Manhattan,MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,MN01,0.430078,0,,,0,True
Manhattan,MN0102,Tribeca-Civic Center,MN01,0.487017006,3255,4.3,3115.035,6396,False
Manhattan,MN0661,United Nations,MN06,0.039143398,0,,,0,True
Manhattan,MN0802,Upper East Side-Carnegie Hill,MN08,0.719748974,12340,7.7,11389.82,15825,False
Manhattan,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,MN08,0.771242976,11960,5.4,11314.16,14670,False
Manhattan,MN0803,Upper East Side-Yorkville,MN08,0.489448011,12653,6.4,11843.208,24197,False
Manhattan,MN0701,Upper West Side-Lincoln Square,MN07,0.566655993,11221,5.7,10581.403,18673,False
Manhattan,MN0703,Upper West Side-Manhattan Valley,MN07,0.473502994,5640,4.2,5403.12,11411,False
Manhattan,MN0702,Upper West Side (Central),MN07,0.91148603,15451,5.2,14647.548,16070,False
Manhattan,MN1202,Washington Heights (North),MN12,0.888624012,8460,7.4,7833.96,8816,False
Manhattan,MN1201,Washington Heights (South),MN12,0.754239023,6140,7.7,5667.22,7514,False
Manhattan,MN0203,West Village,MN02,0.512681007,3964,4.1,3801.476,7415,False
Bronx,BX1104,Allerton,BX11,0.565101981,7593,24.1,5763.087,10198,False
Bronx,BX0702,Bedford Park,BX07,0.880707026,7221,12.9,6289.491,7141,False
Bronx,BX0603,Belmont,BX06,0.588055015,3175,14.6,2711.45,4611,False
Bronx,BX2791,Bronx Park,BX27,1.200260043,10,,,8,False
Bronx,BX0903,Castle Hill-Unionport,BX09,1.180050015,10089,33.2,6739.452,5711,False
Bronx,BX0492,Claremont Park,BX04,0.066846803,0,,,0,True
Bronx,BX0302,Claremont Village-Claremont (East),BX03,0.358594,2156,19.2,1742.048,4858,False
Bronx,BX1004,Co-op City,BX10,1.04223001,11214,27.6,8118.936,7790,False
Bronx,BX0401,Concourse-Concourse Village,BX04,0.950661004,7061,14.2,6058.338,6373,False
Bronx,BX0391,Crotona Park,BX03,0.227408007,0,,,0,True
Bronx,BX0303,Crotona Park East,BX03,0.573149979,4341,18.9,3520.551,6142,False
Bronx,BX1202,Eastchester-Edenwald-Baychester,BX12,2.022910118,16664,35.2,10798.272,5338,False
Bronx,BX1091,Ferry Point Park-St. Raymond Cemetery,BX10,0.780017018,0,,,0,True
Bronx,BX0503,Fordham Heights,BX05,0.264687985,2584,11.0,2299.76,8689,False
Bronx,BX0402,Highbridge,BX04,0.468125999,3206,12.5,2805.25,5993,False
Bronx,BX0201,Hunts Point,BX02,1.615550041,1461,15.4,1236.006,765,False
Bronx,BX1161,Hutchinson Metro Center,BX11,0.437243998,0,,,0,True
Bronx,BX0802,Kingsbridge-Marble Hill,BX08,0.44165501,5351,22.2,4163.078,9426,False
Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,BX08,0.393373013,6314,18.1,5171.166,13146,False
Bronx,BX0202,Longwood,BX02,0.551867008,5646,18.8,4584.552,8307,False
Bronx,BX0102,Melrose,BX01,0.619542003,4306,13.0,3746.22,6047,False
Bronx,BX1102,Morris Park,BX11,0.998385012,8320,34.9,5416.32,5425,False
Bronx,BX0301,Morrisania,BX03,0.495409995,3751,18.8,3045.812,6148,False
Bronx,BX0101,Mott Haven-Port Morris,BX01,1.469769955,5871,11.9,5172.351,3519,False
Bronx,BX0403,Mount Eden-Claremont (West),BX04,0.488097012,4888,15.3,4140.136,8482,False
Bronx,BX0502,Mount Hope,BX05,0.454988986,5358,15.0,4554.3,10010,False
Bronx,BX0703,Norwood,BX07,0.564055979,5714,19.9,4576.914,8114,False
Bronx,BX0904,Parkchester,BX09,0.329443991,5058,18.5,4122.27,12513,False
Bronx,BX1003,Pelham Bay-Country Club-City Island,BX10,1.266559958,11775,39.7,7100.325,5606,False
Bronx,BX2891,Pelham Bay Park,BX28,3.560369968,3,,,1,True
Bronx,BX1103,Pelham Gardens,BX11,1.078430057,11045,47.3,5820.715,5397,False
Bronx,BX1101,Pelham Parkway-Van Nest,BX11,0.559129,7685,27.6,5563.94,9951,False
Bronx,BX0803,Riverdale-Spuyten Duyvil,BX08,2.259219885,17843,34.5,11687.165,5173,False
Bronx,BX0901,Soundview-Bruckner-Bronx River,BX09,1.155310035,10987,21.0,8679.73,7513,False
Bronx,BX0902,Soundview-Clason Point,BX09,1.087569952,9410,38.8,5758.92,5295,False
Bronx,BX0991,Soundview Park,BX09,0.279731989,0,,,0,True
Bronx,BX1002,Throgs Neck-Schuylerville,BX10,2.384560108,20159,50.2,10039.182,4210,False
Bronx,BX0602,Tremont,BX06,0.567708015,4308,23.0,3317.16,5843,False
Bronx,BX0701,University Heights (North)-Fordham,BX07,0.656904995,5000,14.8,4260.0,6485,False
Bronx,BX0501,University Heights (South)-Morris Heights,BX05,0.704580009,6264,17.3,5180.328,7352,False
Bronx,BX2691,Van Cortlandt Park,BX26,1.81716001,0,,,0,True
Bronx,BX1203,Wakefield-Woodlawn,BX12,1.422140002,16306,37.3,10223.862,7189,False
Bronx,BX0601,West Farms,BX06,0.419752985,2093,20.6,1661.842,3959,False
Bronx,BX1001,Westchester Square,BX10,0.551454008,3292,27.7,2380.116,4316,False
Bronx,BX1201,Williamsbridge-Olinville,BX12,1.300019979,15223,31.8,10382.086,7986,False
Bronx,BX1271,Woodlawn Cemetery,BX12,0.641584992,0,,,0,True
Bronx,BX0491,Yankee Stadium-Macombs Dam Park,BX04,0.100755997,0,,,0,True
Brooklyn,BK5691,Barren Island-Floyd Bennett Field,BK56,1.960909963,9,60.0,3.6,2,False
Brooklyn,BK1102,Bath Beach,BK11,0.737379014,9727,29.8,6828.354,9260,False
Brooklyn,BK1001,Bay Ridge,BK10,2.210939884,24821,21.3,19534.127,8835,False
Brooklyn,BK0302,Bedford-Stuyvesant (East),BK03,1.481070042,17636,17.0,14637.88,9883,False
Brooklyn,BK0301,Bedford-Stuyvesant (West),BK03,1.323850036,12460,11.5,11027.1,8330,False
Brooklyn,BK1101,Bensonhurst,BK11,1.74454999,25297,20.9,20009.927,11470,False
Brooklyn,BK1202,Borough Park,BK12,1.452069998,10561,21.6,8279.824,5702,False
Brooklyn,BK1303,Brighton Beach,BK13,0.486550003,5914,19.7,4748.942,9760,False
Brooklyn,BK0201,Brooklyn Heights,BK02,0.358069986,4701,4.0,4512.96,12604,False
Brooklyn,BK0261,Brooklyn Navy Yard,BK02,0.362507999,0,,,0,True
Brooklyn,BK1602,Brownsville,BK16,1.104279995,5950,13.9,5122.95,4639,False
Brooklyn,BK0402,Bushwick (East),BK04,1.001929998,10086,16.4,8431.896,8416,False
Brooklyn,BK0401,Bushwick (West),BK04,0.829874992,7574,8.9,6899.914,8314,False
Brooklyn,BK1391,Calvert Vaux Park,BK13,0.151454002,0,,,0,True
Brooklyn,BK1803,Canarsie,BK18,2.530200005,26521,33.7,17583.423,6949,False
Brooklyn,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK06,2.181329966,12355,7.5,11428.375,5239,False
Brooklyn,BK0204,Clinton Hill,BK02,0.522507012,5529,7.9,5092.209,9746,False
Brooklyn,BK1302,Coney Island-Sea Gate,BK13,1.70401001,11888,25.4,8868.448,5204,False
Brooklyn,BK0802,Crown Heights (North),BK08,1.270390034,12070,12.0,10621.6,8361,False
Brooklyn,BK0901,Crown Heights (South),BK09,0.719334006,8223,13.4,7121.118,9900,False
Brooklyn,BK0501,Cypress Hills,BK05,0.874477983,7649,25.1,5729.101,6551,False
Brooklyn,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BK02,0.851328015,5283,5.7,4981.869,5852,False
Brooklyn,BK1002,Dyker Heights,BK10,1.044510007,12959,26.5,9524.865,9119,False
Brooklyn,BK1701,East Flatbush-Erasmus,BK17,0.709187984,6663,14.2,5716.854,8061,False
Brooklyn,BK1702,East Flatbush-Farragut,BK17,0.865257978,9233,27.2,6721.624,7768,False
Brooklyn,BK1704,East Flatbush-Remsen Village,BK17,0.659559011,6920,21.8,5411.44,8205,False
Brooklyn,BK1703,East Flatbush-Rugby,BK17,0.975935996,10155,26.3,7484.235,7669,False
Brooklyn,BK0505,East New York-City Line,BK05,1.130959988,6802,23.2,5223.936,4619,False
Brooklyn,BK0503,East New York-New Lots,BK05,1.666309953,9368,21.1,7391.352,4436,False
Brooklyn,BK0502,East New York (North),BK05,1.001029968,8113,22.3,6303.801,6297,False
Brooklyn,BK0104,East Williamsburg,BK01,1.874799967,8157,8.3,7479.969,3990,False
Brooklyn,BK1401,Flatbush,BK14,0.861751974,11231,14.8,9568.812,11104,False
Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,BK14,0.821595013,9881,20.8,7825.752,9525,False
Brooklyn,BK1801,Flatlands,BK18,1.949090004,22279,34.1,14681.861,7533,False
Brooklyn,BK0203,Fort Greene,BK02,0.628953993,4740,9.2,4303.92,6843,False
Brooklyn,BK1061,Fort Hamilton,BK10,0.30361101,449,36.6,284.666,938,False
Brooklyn,BK1501,Gravesend (East)-Homecrest,BK15,1.251180053,14967,26.4,11015.712,8804,False
Brooklyn,BK1301,Gravesend (South),BK13,0.926733971,7299,28.9,5189.589,5600,False
Brooklyn,BK1103,Gravesend (West),BK11,1.213670015,15384,21.5,12076.44,9950,False
Brooklyn,BK0771,Green-Wood Cemetery,BK07,0.756919026,0,,,0,True
Brooklyn,BK0101,Greenpoint,BK01,1.266980052,8299,11.2,7369.512,5817,False
Brooklyn,BK0571,Highland Park-Cypress Hills Cemeteries (South),BK05,0.290583014,0,,,0,True
Brooklyn,BK1203,Kensington,BK12,0.626697004,7920,17.1,6565.68,10477,False
Brooklyn,BK0891,Lincoln Terrace Park,BK08,0.0435686,0,,,0,True
Brooklyn,BK1502,Madison,BK15,0.982096016,12791,27.4,9286.266,9456,False
Brooklyn,BK1204,Mapleton-Midwood (West),BK12,1.124760032,9828,27.8,7095.816,6309,False
Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,BK18,2.111759901,20060,43.6,11313.84,5358,False
Brooklyn,BK1891,Marine Park-Plumb Island,BK18,1.552369952,0,,,0,True
Brooklyn,BK1403,Midwood,BK14,1.155660033,13964,27.5,10123.9,8760,False
Brooklyn,BK1601,Ocean Hill,BK16,0.72063601,6204,16.5,5180.34,7189,False
Brooklyn,BK0602,Park Slope,BK06,0.926499009,13034,6.9,12134.654,13097,False
Brooklyn,BK0801,Prospect Heights,BK08,0.36995399,3685,7.3,3415.995,9234,False
Brooklyn,BK0902,Prospect Lefferts Gardens-Wingate,BK09,0.862287998,8321,13.6,7189.344,8338,False
Brooklyn,BK5591,Prospect Park,BK55,0.98011899,0,,,0,True
Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,BK15,2.273119926,22173,34.1,14612.007,6428,False
Brooklyn,BK0103,South Williamsburg,BK01,0.545548975,3617,14.0,3110.62,5702,False
Brooklyn,BK0504,Spring Creek-Starrett City,BK05,0.971593022,2866,24.9,2152.366,2215,False
Brooklyn,BK0703,Sunset Park (Central),BK07,0.672720015,4929,12.0,4337.52,6448,False
Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),BK12,0.421443999,4154,11.4,3680.444,8733,False
Brooklyn,BK0702,Sunset Park (West),BK07,1.807100058,8043,13.4,6965.238,3854,False
Brooklyn,BK0471,The Evergreens Cemetery,BK04,0.200351,0,,,0,True
Brooklyn,BK0102,Williamsburg,BK01,1.03500998,10274,8.0,9452.08,9132,False
Brooklyn,BK0701,Windsor Terrace-South Slope,BK07,0.54924798,8061,10.5,7214.595,13135,False
Brooklyn,BX1071,Hart Island,BX10,0.175949007,0,,,0,True
Brooklyn,BX0291,North & South Brother Islands,BX02,0.033382598,0,,,0,True
Brooklyn,QN0151,Rikers Island,QN01,0.651542008,0,,,0,True
Brooklyn,BK1893,Canarsie Park & Pier,BK18,0.414375991,0,,,0,True
Brooklyn,BK1091,Dyker Beach Park,BK10,0.358321011,0,,,0,True
Brooklyn,BK1771,Holy Cross Cemetery,BK17,0.153402001,0,,,0,True
Brooklyn,BK5692,Jamaica Bay (West),BK56,1.42595005,0,,,0,True
Brooklyn,BK1892,McGuire Fields,BK18,0.379851997,0,,,0,True
Brooklyn,BK5693,Shirley Chisholm State Park,BK56,0.655875981,0,,,0,True
Queens,QN1191,Alley Pond Park,QN11,0.937372983,0,40.0,0.0,0,True
Queens,QN0103,Astoria (Central),QN01,0.756317019,8073,9.7,7289.919,9639,False
Queens,QN0104,Astoria (East)-Woodside (North),QN01,0.934180975,7620,13.5,6591.3,7056,False
Queens,QN0101,Astoria (North)-Ditmars-Steinway,QN01,2.091289997,14079,19.4,11347.674,5426,False
Queens,QN0191,Astoria Park,QN01,0.095950902,0,,,0,True
Queens,QN1101,Auburndale,QN11,1.989529967,17486,48.2,9057.748,4553,False
Queens,QN1203,Baisley Park,QN12,1.719930053,15146,47.7,7921.358,4606,False
Queens,QN0703,Bay Terrace-Clearview,QN07,1.410259962,12972,56.1,5694.708,4038,False
Queens,QN1102,Bayside,QN11,2.525619984,18839,46.8,10022.348,3968,False
Queens,QN1302,Bellerose,QN13,1.984410048,12572,56.0,5531.68,2788,False
Queens,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN14,2.483350039,13237,59.5,5360.985,2159,False
Queens,QN0271,Calvary & Mount Zion Cemeteries,QN02,0.512649,0,,,0,True
Queens,QN1304,Cambria Heights,QN13,1.186339974,9844,51.8,4744.808,4000,False
Queens,QN0701,College Point,QN07,2.392889977,12558,49.6,6329.232,2645,False
Queens,QN0402,Corona,QN04,0.861809015,11446,16.3,9580.302,11117,False
Queens,QN0891,Cunningham Park,QN08,0.764210999,0,,,0,True
Queens,QN1103,Douglaston-Little Neck,QN11,2.444540024,14723,52.4,7008.148,2867,False
Queens,QN0302,East Elmhurst,QN03,1.031769991,7217,29.9,5059.117,4903,False
Queens,QN0705,East Flushing,QN07,1.135650039,9518,34.4,6243.808,5498,False
Queens,QN0401,Elmhurst,QN04,1.510210037,16343,16.2,13695.434,9069,False
Queens,QN1401,Far Rockaway-Bayswater,QN14,2.169260025,16749,43.6,9446.436,4355,False
Queens,QN0707,Flushing-Willets Point,QN07,1.382539988,10338,14.3,8859.666,6408,False
Queens,QN8191,Flushing Meadows-Corona Park,QN81,1.981510043,0,,,0,True
Queens,QN0602,Forest Hills,QN06,2.078809977,26424,23.0,20346.48,9788,False
Queens,QN8291,Forest Park,QN82,0.861272991,0,,,0,True
Queens,QN0761,Fort Totten,QN07,0.249559,0,,,0,True
